Section_Number,FIR_Complaint,Offense,Punishment,Cognizable,Bailable,Court
Section 140,"On 03-05-2023, I witnessed/experienced wearing the dress or carrying any token used by a soldier, sailor or airman with intent that it may be believed that he is such a soldier, sailor or airman. The incident happened at bus. This occurred around afternoon. The accused is known to me. I have evidence in the form of witnesses.","Wearing the dress or carrying any token used by a soldier, sailor or airman with intent that it may be believed that he is such a soldier, sailor or airman",3 Months or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 140,"This is to report that on 28-09-2023, wearing the dress or carrying any token used by a soldier, sailor or airman with intent that it may be believed that he is such a soldier, sailor or airman occurred. The incident happened at shop. This occurred around afternoon. The accused is known to me. I have evidence in the form of video recording.","Wearing the dress or carrying any token used by a soldier, sailor or airman with intent that it may be believed that he is such a soldier, sailor or airman",3 Months or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 140,"This is to report that on 13-03-2024, wearing the dress or carrying any token used by a soldier, sailor or airman with intent that it may be believed that he is such a soldier, sailor or airman occurred. The incident happened at restaurant. This occurred around early morning. The accused is a stranger. I have evidence in the form of photographs.","Wearing the dress or carrying any token used by a soldier, sailor or airman with intent that it may be believed that he is such a soldier, sailor or airman",3 Months or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 140,"On 29-04-2024, I witnessed/experienced wearing the dress or carrying any token used by a soldier, sailor or airman with intent that it may be believed that he is such a soldier, sailor or airman. The incident happened at restaurant. This occurred around morning. The accused is unknown. I have evidence in the form of witnesses.","Wearing the dress or carrying any token used by a soldier, sailor or airman with intent that it may be believed that he is such a soldier, sailor or airman",3 Months or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 140,"I wish to file an FIR as wearing the dress or carrying any token used by a soldier, sailor or airman with intent that it may be believed that he is such a soldier, sailor or airman has taken place. The incident happened at shop. This occurred around afternoon. The accused is my neighbor. I have evidence in the form of medical reports.","Wearing the dress or carrying any token used by a soldier, sailor or airman with intent that it may be believed that he is such a soldier, sailor or airman",3 Months or Fine or Both,Cognizable,Bailable,Any Magistrate
Section 127,"This is to report that on 23-08-2024, receiving property taken by war or depredation mentioned in sections 125 and 126 occurred. The incident happened at bus. This occurred around early morning. The accused is a relative. I have evidence in the form of documents.",Receiving property taken by war or depredation mentioned in sections 125 And 126,7 Years + Fine + forfeiture of property,Cognizable,Non-Bailable,Court of Session
Section 127,I wish to file an FIR as receiving property taken by war or depredation mentioned in sections 125 and 126 has taken place. The incident happened at bus. This occurred around night. The accused is unknown. I have evidence in the form of documents.,Receiving property taken by war or depredation mentioned in sections 125 And 126,7 Years + Fine + forfeiture of property,Cognizable,Non-Bailable,Court of Session
Section 127,"On 09-04-2024, I witnessed/experienced receiving property taken by war or depredation mentioned in sections 125 and 126. The incident happened at train. This occurred around afternoon. The accused is unknown. I have evidence in the form of documents.",Receiving property taken by war or depredation mentioned in sections 125 And 126,7 Years + Fine + forfeiture of property,Cognizable,Non-Bailable,Court of Session
Section 127,I am filing this complaint regarding an incident where receiving property taken by war or depredation mentioned in sections 125 and 126. The incident happened at restaurant. This occurred around morning. The accused is unknown. I have evidence in the form of physical evidence.,Receiving property taken by war or depredation mentioned in sections 125 And 126,7 Years + Fine + forfeiture of property,Cognizable,Non-Bailable,Court of Session
Section 127,"This is to report that on 28-06-2024, receiving property taken by war or depredation mentioned in sections 125 and 126 occurred. The incident happened at public place. This occurred around early morning. The accused is a colleague. I have evidence in the form of medical reports.",Receiving property taken by war or depredation mentioned in sections 125 And 126,7 Years + Fine + forfeiture of property,Cognizable,Non-Bailable,Court of Session
